Sestiere,Latitude,Longitude
Cannaregio,45.44676536565772,12.326153451370601
Castello,45.436255448738834,12.343053817749023
Dorsoduro,45.43092248853081,12.324927694219241
Santa Croce,45.44141716311032,12.326927025379064
San Marco,45.43423778818446,12.339009046554565
San Polo,45.437937208047465,12.334652164643217
